feature,coefficient,abs_coefficient,is_zero
DebtRatio_valid,-0.900396728206381,0.900396728206381,False
NumberRealEstateLoansOrLines,-0.6560293039428475,0.6560293039428475,False
RevolvingUtilizationOfUnsecuredLines,-0.6548054120792053,0.6548054120792053,False
NumberOfTime30-59DaysPastDueNotWorse,-0.6260576726166691,0.6260576726166691,False
Ever90DaysPastDue,-0.6119040514560965,0.6119040514560965,False
Ever60_89DaysPastDue,-0.5294617784434231,0.5294617784434231,False
age,-0.47071562792250016,0.47071562792250016,False
NumberOfOpenCreditLinesAndLoans,-0.15636694559433967,0.15636694559433967,False
MonthlyIncome,-0.04394272807131194,0.04394272807131194,False
NumberOfDependents,0.0,0.0,True
Income_missing,0.0,0.0,True
